season,week,gsisId
2026,1,00-0034369
2026,1,00-0034370
2026,1,00-0034378
2026,1,00-0034386
2026,1,00-0034393
2026,1,00-0034395
2026,1,00-0034400
2026,1,00-0034401
2026,1,00-0034406
2026,1,00-0034407
2026,1,00-0034409
2026,1,00-0034411
2026,1,00-0034412
2026,1,00-0034414
2026,1,00-0034418
2026,1,00-0034419
2026,1,00-0034420
2026,1,00-0034423
2026,1,00-0034426
2026,1,00-0034432
2026,1,00-0034433
2026,1,00-0034438
2026,1,00-0034439
2026,1,00-0034440
2026,1,00-0034442
2026,1,00-0034449
2026,1,00-0034457
2026,1,00-0034472
2026,1,00-0034487
2026,1,00-0034491
2026,1,00-0034493
2026,1,00-0034494
2026,1,00-0034504
2026,1,00-0034510
2026,1,00-0034521
2026,1,00-0034524
2026,1,00-0034528
2026,1,00-0034532
2026,1,00-0034535
2026,1,00-0034549
2026,1,00-0034551
2026,1,00-0034557
2026,1,00-0034563
2026,1,00-0034574
2026,1,00-0034575
2026,1,00-0034577
2026,1,00-0034578
2026,1,00-0034592
2026,1,00-0034593
2026,1,00-0034597
2026,1,00-0034608
2026,1,00-0034609
2026,1,00-0034613
2026,1,00-0034614
2026,1,00-0034618
2026,1,00-0034619
2026,1,00-0034621
2026,1,00-0034631
2026,1,00-0034632
2026,1,00-0034633
2026,1,00-0034642
2026,1,00-0034646
2026,1,00-0034647
2026,1,00-0034652
2026,1,00-0034653
2026,1,00-0034654
2026,1,00-0034660
2026,1,00-0034666
2026,1,00-0034667
2026,1,00-0034669
2026,1,00-0034670
2026,1,00-0034672
2026,1,00-0034676
2026,1,00-0034679
2026,1,00-0034681
2026,1,00-0034686
2026,1,00-0034697
2026,1,00-0034698
2026,1,00-0034703
2026,1,00-0034705
2026,1,00-0034708
2026,1,00-0034709
2026,1,00-0034710
2026,1,00-0034715
2026,1,00-0034716
2026,1,00-0034725
2026,1,00-0034732
2026,1,00-0034733
2026,1,00-0034735
2026,1,00-0034737
2026,1,00-0034747
2026,1,00-0034748
2026,1,00-0034750
2026,1,00-0034761
2026,1,00-0034764
2026,1,00-0034765
2026,1,00-0034766
2026,1,00-0034771
2026,1,00-0034772
2026,1,00-0034775
2026,1,00-0034777
2026,1,00-0034783
2026,1,00-0034784
2026,1,00-0034786
2026,1,00-0034788
2026,1,00-0034791
2026,1,00-0034795
2026,1,00-0034799
2026,1,00-0034808
2026,1,00-0034816
2026,1,00-0034819
2026,1,00-0034830
2026,1,00-0034838
2026,1,00-0034845
2026,1,00-0034854
2026,1,00-0034859
2026,1,00-0034860
2026,1,00-0034861
2026,1,00-0034862
2026,1,00-0034863
2026,1,00-0034867
2026,1,00-0034870
2026,1,00-0034876
2026,1,00-0034878
2026,1,00-0034883
2026,1,00-0034888
2026,1,00-0034890
2026,1,00-0034892
2026,1,00-0034893
2026,1,00-0034894
2026,1,00-0034897
2026,1,00-0034899
2026,1,00-0034900
2026,1,00-0034915
2026,1,00-0034922
2026,1,00-0034928
2026,1,00-0034930
2026,1,00-0034932
2026,1,00-0034935
2026,1,00-0034943
2026,1,00-0034949
2026,1,00-0034955
