season,week,offense,defense,down,togo,yardline,margin,seconds,playType,player,passer,airYards,caught,yards,touchdown,shotgun,manZone,coverage,rushers,shell,box,afterCatch
2021,1,LV,BAL,2,15,64,-7,884,pass,,00-0031280,0,0,-13,0,1,,,,,,0
2021,1,LV,BAL,3,28,77,-7,847,pass,00-0033118,00-0031280,6,1,21,0,1,,,,,,15
2021,1,BAL,LV,1,10,81,7,803,pass,00-0035662,00-0034796,13,1,13,0,1,,,,,,0
2021,1,BAL,LV,1,10,68,7,763,run,00-0034796,,,,4,0,1,,,,,,
2021,1,BAL,LV,2,6,64,7,722,run,00-0034796,,,,2,0,1,,,,,,
2021,1,LV,BAL,1,10,41,-7,714,pass,00-0031610,00-0031280,1,1,4,0,1,,,,,,3
2021,1,LV,BAL,2,6,37,-7,677,pass,00-0035125,00-0031280,3,1,5,0,0,,,,,,2
2021,1,LV,BAL,3,1,32,-7,637,run,00-0035700,,,,1,0,1,,,,,,
2021,1,LV,BAL,1,10,31,-7,605,pass,00-0033118,00-0031280,6,1,16,0,1,,,,,,10
2021,1,LV,BAL,1,10,15,-7,564,run,00-0035700,,,,15,1,0,,,,,,
2021,1,BAL,LV,1,10,75,0,558,run,00-0036457,,,,2,0,1,,,,,,
2021,1,BAL,LV,2,8,73,0,515,pass,00-0033376,00-0034796,4,1,6,0,1,,,,,,2
2021,1,BAL,LV,3,2,67,0,473,run,00-0035662,,,,5,0,1,,,,,,
2021,1,BAL,LV,1,10,62,0,435,run,00-0030513,,,,5,0,1,,,,,,
2021,1,BAL,LV,2,5,57,0,391,pass,00-0031325,00-0034796,42,1,49,0,1,,,,,,7
2021,1,BAL,LV,1,8,8,0,369,run,00-0030513,,,,8,1,1,,,,,,
2021,1,LV,BAL,1,10,75,-7,364,pass,00-0031610,00-0031280,8,1,9,0,1,,,,,,1
2021,1,LV,BAL,2,1,66,-7,340,run,00-0033118,,,,3,0,0,,,,,,
2021,1,LV,BAL,1,10,63,-7,305,pass,00-0034983,00-0031280,7,1,7,0,1,,,,,,0
2021,1,LV,BAL,2,3,56,-7,299,pass,00-0036357,00-0031280,8,1,9,0,1,,,,,,1
2021,1,LV,BAL,1,10,47,-7,255,pass,00-0031610,00-0031280,6,0,0,0,1,,,,,,0
2021,1,LV,BAL,2,10,47,-7,252,pass,,00-0031280,2,0,0,0,1,,,,,,0
2021,1,LV,BAL,3,10,47,-7,246,pass,00-0036357,00-0031280,30,1,37,0,1,,,,,,7
2021,1,LV,BAL,1,20,20,-7,233,pass,00-0031610,00-0031280,8,1,10,0,1,,,,,,2
2021,1,LV,BAL,2,10,10,-7,230,pass,00-0031610,00-0031280,6,1,10,1,1,,,,,,4
2021,1,BAL,LV,1,10,75,0,224,run,00-0034796,,,,1,0,1,,,,,,
2021,1,BAL,LV,2,9,74,0,186,pass,00-0033376,00-0034796,5,1,9,0,1,,,,,,4
2021,1,BAL,LV,1,10,65,0,145,run,00-0030513,,,,0,0,1,,,,,,
2021,1,BAL,LV,2,10,65,0,120,run,00-0034796,,,,28,0,1,,,,,,
2021,1,BAL,LV,1,10,37,0,99,run,00-0030513,,,,2,0,1,,,,,,
2021,1,BAL,LV,2,8,35,0,94,run,00-0034796,,,,4,0,1,,,,,,
2021,1,BAL,LV,3,4,31,0,89,run,00-0034796,,,,2,0,1,,,,,,
2021,1,LV,BAL,1,10,75,-3,37,pass,00-0036365,00-0031280,18,1,20,0,1,,,,,,2
2021,1,LV,BAL,2,10,55,-3,22,pass,00-0036365,00-0031280,18,1,18,0,1,,,,,,0
